"","Station","depth","S","J","Theta","m","Theta2","m2"
"1",1,0,9,214,1.7586,1,0,0
"2",1,25,7,486,1.04612,1,0,0
"3",1,48,3,110,2.54586,0.00792138,0,0
"4",1,75,5,130,3.4063,0.0178283,0,0
"5",1,150,5,96,4.56617,0.0204334,0,0
"6",2,0,8,218,1.49273,1,0,0
"7",2,25,6,488,0.851996,1,0,0
"8",2,50,6,322,0.925522,1,0,0
"9",2,75,4,246,0.553502,1,0,0
"10",2,90,4,84,1.50314,0.0528873,0,0
"11",3,0,10,372,1.76591,1,0,0
"12",3,25,6,244,0.982843,1,0,0
"13",3,50,6,188,1.04417,1,0,0
"14",3,75,5,148,0.855758,1,0,0
"15",3,110,5,62,2.09414,0.101076,0,0
"16",4,0,6,292,0.944861,1,0,0
"17",4,40,7,150,5.73678,0.0206027,0,0
"18",4,60,4,124,184.441,0.00527264,184.445,0.00527264
"19",4,75,3,110,2.54586,0.00792138,0,0
"20",4,120,4,56,2.4076,0.0439725,0,0
"21",5,0,7,456,1.05953,1,0,0
"22",5,25,10,404,1.73311,1,0,0
"23",5,40,8,454,1.58561,0.18342,0,0
"24",5,80,5,128,2.33438,0.02982,0,0
"25",5,100,4,74,2.54405,0.0281562,0,0
"26",6,0,7,366,1.1083,1,0,0
"27",6,25,7,230,1.22947,1,0,0
"28",6,40,9,474,1.882,0.162288,0,0
"29",6,50,4,146,3.26224,0.00917495,0,0
"30",6,100,6,148,6.17769,0.0140193,0,0
"31",7,50,8,278,1.40725,1,0,0
"32",7,65,4,326,2.0452,0.00545286,0,0
"33",7,75,6,268,0.962582,1,0,0
"34",7,100,4,40,20.4758,0.025356,0,0
"35",8,0,4,200,0.577827,1,0,0
"36",8,25,4,278,2.78038,0.00472744,0,0
"37",8,35,8,576,1.20479,1,0,0
"38",8,50,5,166,0.8324,1,0,0
"39",8,100,4,146,3.26224,0.00917495,0,0
"40",9,0,4,348,0.548896,0.55851,0,0
"41",9,25,8,384,1.30895,1,0,0
"42",9,40,5,194,0.802799,1,0,0
"43",9,70,5,62,3.85808,0.042664,0,0
"44",9,110,5,52,3.00514,0.0724384,0,0
"45",10,0,5,182,2.74145,0.0148353,0,0
"46",10,25,7,128,12.0599,0.0161767,0,0
"47",10,40,3,56,2.50547,0.0191941,0,0
"48",10,70,6,78,4.39e+08,0.0170247,3.97e+08,0.0170247
"49",10,110,4,100,1.61473,0.0360892,0,0
"50",11,0,8,416,8.55615,0.00557269,0,0
"51",11,20,8,718,1.23414,0.522439,0,0
"52",11,40,5,292,0.869873,0.261161,0,0
"53",11,95,6,70,7.47684,0.033616,0,0
"54",11,155,5,94,7.2125,0.0159463,0,0
"55",12,0,8,382,6.1883,0.00792696,0,0
"56",12,15,7,374,5.98847,0.00620392,0,0
"57",12,40,5,148,0.855758,1,0,0
"58",12,45,5,244,0.763242,1,0,0
"59",12,50,9,212,1.76289,1,0,0
"60",13,0,8,520,1.22932,1,0,0
"61",13,20,8,460,1.58038,0.183163,0,0
"62",13,35,4,236,0.558184,1,0,0
"63",13,50,9,160,3.18456,0.10709,0,0
"64",13,80,4,80,5.45564,0.0143257,0,0
"65",14,0,14,660,2.39538,1,0,0
"66",14,25,10,636,1.57393,1,0,0
"67",14,30,8,564,1.20969,1,0,0
"68",14,40,6,560,0.979365,0.233144,0,0
"69",14,90,4,92,2.72822,0.0195649,0,0
"70",15,0,11,804,1.69603,1,0,0
"71",15,20,10,1020,1.43873,1,0,0
"72",15,32,12,992,1.81731,1,0,0
"73",15,50,4,438,0.495919,1,0,0
"74",15,70,7,96,56.639,0.0174551,0,0
"75",16,0,12,324,2.31815,1,0,0
"76",16,20,10,450,1.79797,0.598654,0,0
