STATION,Oscillatoriaceae,Cryptomonadaceae,Prorocentrum.dentatum,Prorocentrum.trestinum,Prorocentrum.micans,Prorocentrum.minimum,Prorocentrum.sp.,Dinophysis.caudata,Gymnodinium.spp.,Gyrodinium.sp.,Gymnodiniales,Dissodinium.sp.,Ceratium.fusus,Ceratium.tripos,Ceratium.furca,Ceratium.kofoidii,Gonyaulux.sp.,Oxyphysis.oxytoxoides,Scrippsiella.sp.,Heterocapsa.sp.,Protoperidinium.pellucidum,Protoperidinium.bipes,Protoperidinium.depressum,Protoperidinium.spp.,Peridiniales,Dictyocha.fibula,Detonula.pumila,Thalassiosira.rotula,Thalassiosira.diporocyclus,Thalassiosira.spp.,Thalassiosiraceae,Aulacoseira.ambigua,Aulacoseira.distans,Aulacoseira.granulata,Melosira.varians,Corethron.hystrix,Coscinodiscus.sp.,Dactyliosen.sp.,Palmeria.hardmaniana,Asteromphalus.sarcophagus,Asteromphalus.flabellatus,Rhizosolenia.alata,Rhizosolenia.bergonii,Rhizosolenia.cylindrus,Rhizosolenia.fragilissima,Rhizosolenia.imbricata,Rhizosolenia.robusta,Rhizosolenia.setigera,Rhizosolenia.stolterfothii,Asterionella.glacialis,Diatoma.vulgare,Fragilaria.crotonensis,Fragilaria.sp.,Neodelphineis.pelagica,Synedra.acus,Synedra.spp.,Cerataulina.pelagica,Climacodium.biconcavum,Climacodium.frauenfeldianum,Bacteriastrum.sp.,Chaetoceros.atlanticum,Chaetoceros.compressum,Chaetoceros.lorenzianum,Chaetoceros.peruvianum,Chaetoceros.spp.,Thalassionema.nitzschioides,Thalassiothrix.sp.,Cocconeis.sp.,Achnanthes.sp.,Amphora.sp.,Cymbella.sp.,Gomphonema.sp.,Navicula.sp.,Pleurosigma.spp.,Cylindrotheca.closterium,Nitzschia.spp.,HAPTOPHYCEAE,EUGLENOPHYCEAE,PRASINOPHYCEAE
A1,0,28320,0,0,0,23040,35040,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,155840,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,4080,0,3000,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,3920,0,0,0,1000,822600,0,0
A2,0,9000,0,1000,0,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,0,0,0,0,3000,99600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,1600,913800,0,24000
A3,0,83400,0,0,0,0,1000,0,5600,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,1000,48000,0,0,0,0,18000,0,6400,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,0,0,0,0,4000,0,2000,646200,0,24000
A4,0,30600,0,0,0,0,2400,0,0,0,44800,0,0,0,0,0,0,0,0,0,0,0,0,1600,81000,0,4800,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,1400,490800,0,21600
A5,0,86400,0,0,0,0,20800,1600,22200,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,4400,243000,0,0,0,0,3400,0,0,0,0,0,0,0,19800,0,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,1600,0,0,0,0,0,0,799200,0,14400
A6,0,87600,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,9000,0,0,0,4600,136800,0,0,0,0,5600,18000,0,8000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,2400,0,0,0,0,616800,0,26400
A7,0,0,0,0,0,0,1000,0,600,0,1400,0,0,0,0,0,600,0,2600,0,0,0,0,1000,60400,0,0,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400,363400,0,1400
A8,0,32400,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54800,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,10400,814200,2600,9000
B9,0,25200,0,0,0,14400,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,3400,27400,0,0,0,0,0,0,26400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400,2800,0,0,0,0,0,0,0,0,0,673200,1600,0
B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50200,0,0,0,0,3200,0,43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,2800,0,0,35200,265800,0,28200
