STATION,BOTTLE,Prorocentrum dentatum,Prorocentrum trestinum,Prorocentrum micans,Prorocentrum minimum,Prorocentrum sp.,Dinophysis caudata,Gymnodinium spp.,Gyrodinium sp.,Dissodinium sp.,Ceratium fusus,Ceratium tripos,Ceratium furca,Ceratium kofoidii,Gonyaulux sp.,Oxyphysis oxytoxoides,Scrippsiella sp.,Heterocapsa sp.,Protoperidinium pellucidum,Protoperidinium bipes,Protoperidinium depressum,Protoperidinium spp.,Dictyocha fibula,Detonula pumila,Thalassiosira rotula,Thalassiosira diporocyclus,Thalassiosira spp.,Aulacoseira ambigua,Aulacoseira distans,Aulacoseira granulata,Melosira varians,Corethron hystrix,Coscinodiscus sp.,Dactyliosen sp.,Palmeria hardmaniana,Asteromphalus sarcophagus,Asteromphalus flabellatus,Rhizosolenia alata,Rhizosolenia bergonii,Rhizosolenia cylindrus,Rhizosolenia fragilissima,Rhizosolenia imbricata,Rhizosolenia robusta,Rhizosolenia setigera,Rhizosolenia stolterfothii,Asterionella glacialis,Diatoma vulgare,Fragilaria crotonensis,Fragilaria sp.,Neodelphineis pelagica,Synedra acus,Synedra spp.,Cerataulina pelagica,Climacodium biconcavum,Climacodium frauenfeldianum,Bacteriastrum sp.,Chaetoceros atlanticum,Chaetoceros compressum,Chaetoceros lorenzianum,Chaetoceros peruvianum,Chaetoceros spp.,Thalassionema nitzschioides,Thalassiothrix sp.,Cocconeis sp.,Achnanthes sp.,Amphora sp.,Cymbella sp.,Gomphonema sp.,Navicula sp.,Pleurosigma spp.,Cylindrotheca closterium,Nitzschia spp.
A1,S,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
A1,1,0,0,0,960,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,0,0
A1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
A1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,S,0,80,0,240,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
A2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
A2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,S,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,160,0,0,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80
A3,3,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
A3,5,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0
