"","Station","P","NeutralciL","NeutralciU","H1","Neutral_MeanH","Mean_Hboot","StandD_Ho","N_CI_lower","N_CI_higher","Q_CI_lower","Q_CI_higher","Precise","Pfromboot"
"1","BCI",0,66.9040027212546,67.9624850372987,73.2416680051656,67.4332438792766,74.8620513503329,10.3531726494541,54.569832957403,95.1542697432629,55.8655422261005,95.8224347113141,"FALSE",2.19893195092802e-94
"2","Edoro",0,66.8980874938551,67.9794350577462,39.1273714832257,67.4387612758007,41.8738709046398,8.32729182602076,25.5523789256391,58.1953628836405,28.439785328523,62.0294217597038,"FALSE",0
"3","HKK",0,67.8752357505301,68.9451351664365,44.6560779077055,68.4101854584833,46.0156145928753,6.10538882002726,34.0490525056218,57.9821766801287,35.1276605551631,58.8537628230414,"FALSE",0
"4","La Planada",0,48.056454402172,48.9734508952934,54.5197243402044,48.5149526487327,55.4990618091814,6.76847889892668,42.2328431672851,68.7652804510777,43.5534834922707,69.6040897640886,"FALSE",1.32751243592639e-104
"5","Lambir",0,343.227607195262,345.674081991012,385.91535047271,344.450844593137,389.950065555797,28.4814609389352,334.126402115484,445.77372899611,337.947539441328,448.6657468715,"FALSE",0
"6","Lenda",1.92108010193879e-309,71.816109813997,72.9111515445809,15.0185681522259,72.363630679289,32.8050973430703,26.9911867559009,-20.0976286984955,85.7078233846361,9.22971589254155,88.9907653854571,"FALSE",0
"7","Madumalai",0,16.0990958338007,16.5941378587197,12.2696518134294,16.3466168462602,12.8531257006999,2.69063191291553,7.5794871513855,18.1267642500144,8.3700082902021,18.6038583498245,"FALSE",3.96258582907119e-160
"8","Pasoh",0,221.597823471238,223.551513807091,284.463957469326,222.574668639164,285.433049349082,16.1120395871238,253.853451758319,317.012646939845,253.914855224683,317.679575711282,"FALSE",0
"9","Sinharaja",0,47.5541267038259,48.4329076428669,46.0140084792612,47.9935171733464,47.8668461816152,8.03840436144027,32.1115736331922,63.6221187300381,33.8622981991519,65.7888071698637,"FALSE",3.98177901659474e-19
"10","Yasuni",0,307.723841778208,309.961438131346,233.174573021302,308.842639954777,244.800922244328,56.9000918222122,133.276742272792,356.325102215864,150.503142103499,347.548182480658,"FALSE",0
