S, J, Theta, Std_Theta, I, Std_I, m, Std_m, loglike_min, Theta_Ewens, loglike_Ewens, Theta2, Std_Theta2, I2, Std_I2, m2, Std_m2, loglike_min2
5,21,12.0303,22.5383,2.41881,1.62844,0.107892,0.0648002,5.22073,1.7524,5.26332,12.0303,22.5384,2.41881,1.62844,0.107892,0.0648002,5.22073
4,26,12.8745,37.51,1.31607,0.913115,0.0500102,0.0329628,6.33527,1.06554,6.35146,12.8745,37.5098,1.31607,0.913116,0.0500102,0.0329628,6.33527
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
4,10,6.93939,10.8468,3.41782,3.37316,0.275235,0.196874,2.96376,1.95636,3.02607,6.93937,10.8468,3.41783,3.37317,0.275235,0.196874,2.96376
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
5,6,23.7863,49.7301,23.7862,49.7301,0.826306,0.300068,0.841812,11.4423,0.869319,23.7862,49.7301,23.7863,49.7301,0.826306,0.300068,0.841812
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
3,4,8.10114,17.6804,8.10117,17.6805,0.729758,0.430406,0.741384,3.76644,0.78161,8.10117,17.6805,8.10114,17.6804,0.729757,0.430405,0.741384
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
3,22,1.39984,1.30993,3.41584,4.51108,0.139903,0.158912,5.80996,0.689829,6.3508,1.39984,1.30993,3.41583,4.51107,0.139902,0.158912,5.80996
