S, J, I, Std_I, m, Std_m, loglike_min
8,107,14.2531,19.0783,0.118526,0.139847,32.579
6,243,5.54837,12.6292,0.0224133,0.0498736,31.4776
2,55,1.15467,12.6656,0.0209352,0.224831,10.26
4,65,5.72402,18.2043,0.0820953,0.239657,17.665
4,48,5.90631,18.7948,0.111637,0.315588,17.0305
7,109,24.1185,31.9942,0.182552,0.197955,30.3344
5,244,4.12277,11.9614,0.0166831,0.0475953,22.8334
5,161,7.81704,18.3397,0.0465807,0.104193,24.1342
3,123,2.42652,13.2154,0.0195016,0.104139,8.44123
3,42,2.54823,13.7375,0.0585152,0.296996,10.6455
9,186,15.1514,17.3429,0.0756995,0.0800896,38.8594
5,122,11.0846,24.0212,0.0839206,0.1666,19.737
5,94,12.2823,26.5713,0.116661,0.222938,22.8858
4,74,5.27967,17.7222,0.0674463,0.211126,16.2706
4,31,2.26337,9.97043,0.0701528,0.287353,22.2734
5,146,8.92931,20.148,0.0580092,0.123298,20.2776
6,75,6.91514,14.3724,0.0854616,0.162443,32.562
3,62,3.00086,15.6419,0.0468879,0.232943,10.5721
2,55,1.15467,12.6656,0.0209352,0.224831,6.49883
3,28,3.18526,16.3387,0.105524,0.484164,8.15408
6,228,11.7936,20.7737,0.0493883,0.0826979,24.3847
9,202,26.6976,26.4725,0.11725,0.10263,45.1078
7,227,10.8581,16.8936,0.0458421,0.068054,38.0451
4,64,3.96171,14.0143,0.0591638,0.196906,16.5579
3,37,5.61563,25.461,0.13494,0.529254,9.68312
6,183,9.06703,17.2185,0.0474547,0.0858412,36.4264
6,115,12.3344,21.8016,0.0976327,0.155722,25.5272
8,237,17.9197,21.3121,0.0705722,0.0780093,37.6758
3,73,2.78195,14.744,0.0372008,0.189825,15.1863
5,74,6.45551,16.0039,0.0812468,0.185055,20.4551
7,139,12.6724,19.0308,0.0841056,0.115683,35.005
3,163,2.68026,14.088,0.0162755,0.0841554,11.6949
5,134,9.17399,20.8474,0.0645265,0.137171,19.4621
3,20,10.6657,50.6277,0.359529,1.09303,7.92927
3,100,2.48234,13.5624,0.0244608,0.130374,12.8174
3,139,3.00716,15.3224,0.0213263,0.106346,10.2143
7,288,9.70383,15.7772,0.0327055,0.0514358,37.2012
4,83,5.01083,17.009,0.0575885,0.184224,14.3848
3,73,4.11912,19.5705,0.0541142,0.243191,10.1768
3,174,0.01,0.707103,5.78E-05,0.00408683,19.2363
7,192,10.794,17.2524,0.05349,0.080922,30.8847
4,97,4.18052,14.8473,0.0417299,0.14202,23.1368
4,31,7.15395,22.0193,0.192549,0.478535,14.2632
4,26,5.12431,17.273,0.170105,0.475854,16.2195
4,91,2.77349,11.1237,0.0298953,0.116317,17.9045
6,64,6.69723,14.308,0.0960904,0.185562,28.106
2,28,1.64269,16.4813,0.0573513,0.54241,6.31785
5,39,6.58103,16.8653,0.14762,0.322461,22.3707
3,50,3.32466,16.4783,0.063539,0.294914,11.6399
7,208,7.82594,13.5683,0.0364292,0.0608589,33.7634
7,359,12.876,18.9785,0.0347178,0.0493956,27.7286
4,146,5.06869,16.5884,0.0337758,0.106805,16.7883
5,35,6.23723,16.3517,0.155011,0.343389,17.3786
4,47,6.31727,19.8213,0.120749,0.33312,18.8402
