S, J, I, Std_I, m, Std_m, loglike_min
8,107,14.2397,19.0677,0.118428,0.1398,32.5842
6,243,5.5423,12.6215,0.0223893,0.0498455,31.4816
2,55,1.15339,12.6572,0.0209123,0.224692,10.2616
4,65,5.73017,18.2204,0.0821764,0.239826,17.662
4,48,5.91301,18.8123,0.11175,0.315802,17.0273
7,109,24.1072,31.9816,0.182482,0.197911,30.3279
5,244,4.11832,11.9544,0.0166654,0.0475689,22.836
5,161,7.81946,18.3446,0.0465945,0.104218,24.1249
3,123,2.42414,13.2078,0.0194828,0.104083,8.44103
3,42,2.54995,13.745,0.0585522,0.297135,10.643
9,186,15.1482,17.3406,0.0756849,0.0800814,38.8534
5,122,11.0786,24.0113,0.0838788,0.166547,19.7375
5,94,12.2796,26.5668,0.116638,0.222912,22.8855
4,74,5.27216,17.7062,0.0673567,0.210977,16.2675
4,31,2.26307,9.97026,0.0701442,0.287353,22.2675
5,146,8.93731,20.1629,0.0580581,0.123377,20.2748
6,75,6.91653,14.3746,0.0854774,0.162462,32.5608
3,62,2.99696,15.6294,0.0468298,0.232784,10.5674
2,55,1.15339,12.6572,0.0209123,0.224692,6.50041
3,28,3.18263,16.3314,0.105446,0.484032,8.15368
6,228,11.8019,20.7856,0.0494214,0.0827396,24.3745
9,202,26.692,26.4679,0.117228,0.102617,45.1016
7,227,10.8657,16.9022,0.0458729,0.0680844,38.0422
4,64,3.96392,14.0205,0.0591949,0.196979,16.5555
3,37,5.6214,25.4876,0.13506,0.529662,9.67292
6,183,9.07413,17.2288,0.0474901,0.0858859,36.4235
6,115,12.3406,21.8104,0.0976769,0.15577,25.5177
8,237,17.9307,21.3218,0.0706125,0.078038,37.6657
3,73,2.77842,14.7327,0.0371553,0.189698,15.1894
5,74,6.45783,16.0085,0.0812737,0.185097,20.4455
7,139,12.676,19.0348,0.0841273,0.115702,35.0039
3,163,2.68104,14.0922,0.0162802,0.0841793,11.6928
5,134,9.16934,20.8397,0.0644959,0.137129,19.4625
